Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 22_level_0_Ast,Unnamed: 23_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 26_level_0_KP,Unnamed: 27_level_0_1/3,Unnamed: 28_level_0_PPA,Unnamed: 29_level_0_CrsPA,Unnamed: 30_level_0_PrgP,Unnamed: 31_level_0_Matches
741,Jonathan Sirois,ca CAN,GK,CF Montréal,24-127,2001,23.0,715,904,79.1,16907,11509,160,160,100.0,415,430,96.5,140,309,45.3,0,0.0,0.0,0.0,0,3,0,0,0,Matches
742,Pablo Sisniega,mx MEX,GK,San Diego FC,30-117,1995,4.0,126,137,92.0,2183,1412,55,55,100.0,66,66,100.0,5,16,31.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches
743,Jack Skahan,us USA,"MF,FW",SJ Earthquakes,27-267,1998,0.6,18,20,90.0,303,55,8,9,88.9,8,9,88.9,1,1,100.0,2,0.9,0.6,+1.1,3,0,1,1,2,Matches
744,Bartosz Slisz,pl POL,MF,Atlanta Utd,26-217,1999,25.5,1439,1630,88.3,23574,7362,684,751,91.1,620,672,92.3,99,134,73.9,1,1.5,2.1,-0.5,23,177,18,2,166,Matches
745,Tyger Smalls,,"FW,MF",Charlotte,23-044,2002,1.7,47,61,77.0,879,201,16,22,72.7,23,26,88.5,5,5,100.0,0,0.1,0.1,-0.1,1,3,0,0,6,Matches
746,Alec Smir,us USA,GK,Minnesota Utd,26-202,1999,1.8,22,51,43.1,827,685,2,2,100.0,7,8,87.5,13,41,31.7,0,0.0,0.0,0.0,0,2,0,0,0,Matches
747,Brad Smith,au AUS,"DF,MF",FC Cincinnati,31-206,1994,3.6,105,142,73.9,1557,422,59,69,85.5,42,53,79.2,2,11,18.2,0,0.1,0.2,-0.1,3,3,2,1,4,Matches
748,Ian Smith,us USA,"DF,MF",Portland Timbers,23-108,2002,11.4,479,579,82.7,7908,2487,243,261,93.1,206,242,85.1,24,53,45.3,1,0.3,0.5,+0.7,5,29,5,1,36,Matches
749,Kyle Smith,us USA,"DF,MF",Orlando City,33-296,1992,12.8,553,663,83.4,9412,2974,260,283,91.9,245,271,90.4,37,84,44.0,2,1.0,0.6,+1.0,8,39,4,1,39,Matches
750,Artem Smoliakov,ua UKR,"DF,MF",LAFC,22-156,2003,12.5,577,702,82.2,8851,1764,300,327,91.7,234,269,87.0,28,70,40.0,3,3.2,2.2,-0.2,13,29,8,5,48,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
751,Mohammed Sofo,gh GHA,FW,NY Red Bulls,21-001,2004,17.5,333,433,76.9,4816,889,190,228,83.3,123,149,82.6,12,24,50.0,0,0.8,0.9,-0.8,10,14,10,1,29,Matches
752,Pedro Soma,us USA,"MF,FW",San Diego FC,19-124,2006,0.8,67,76,88.2,1174,447,34,37,91.9,23,26,88.5,8,9,88.9,0,0.0,0.0,0.0,1,13,1,1,11,Matches
753,Wessel Speel,nl NED,GK,Minnesota Utd,24-015,2001,2.2,45,77,58.4,1297,960,8,8,100.0,21,21,100.0,15,46,32.6,0,0.0,0.0,0.0,0,1,0,0,0,Matches
754,Tyrese Spicer,tt TRI,"DF,FW",Toronto FC,24-332,2000,9.6,180,280,64.3,3262,1093,91,110,82.7,59,98,60.2,25,49,51.0,0,0.7,0.9,-0.7,11,12,4,4,10,Matches
755,Tyrese Spicer,tt TRI,"MF,FW",Orlando City,24-332,2000,3.1,71,118,60.2,1255,395,31,38,81.6,31,57,54.4,7,12,58.3,2,1.3,1.2,+0.7,7,4,9,5,10,Matches
756,Dayne St. Clair,ca CAN,GK,Minnesota Utd,28-176,1997,30.0,623,1008,61.8,19118,14354,102,102,100.0,282,290,97.2,239,613,39.0,0,0.0,0.2,0.0,0,21,0,0,1,Matches
757,Lazar Stefanovic,ca CAN,DF,Toronto FC,19-083,2006,6.4,307,364,84.3,6064,2245,93,101,92.1,177,198,89.4,34,53,64.2,0,0.0,0.1,0.0,1,36,1,0,24,Matches
758,Zack Steffen,us USA,GK,Colorado Rapids,30-213,1995,23.0,480,719,66.8,14459,10846,65,66,98.5,241,245,98.4,174,405,43.0,0,0.0,0.1,0.0,0,22,1,0,0,Matches
759,Daniel Steres,us USA,DF,Houston Dynamo,34-355,1990,4.4,213,256,83.2,3580,1510,103,119,86.6,95,110,86.4,13,20,65.0,0,0.0,0.1,0.0,0,20,0,0,17,Matches
760,Kimani Stewart-Baynes,ca CAN,"MF,FW",Colorado Rapids,20-288,2005,0.3,9,12,75.0,128,31,4,6,66.7,5,6,83.3,0,0,,0,0.0,0.0,0.0,0,1,0,0,2,Matches
761,Jared Stroud,us USA,"FW,MF",D.C. United,29-114,1996,14.5,312,440,70.9,4999,1239,165,203,81.3,123,155,79.4,17,43,39.5,0,3.0,3.3,-3.0,24,23,11,7,34,Matches
762,Peter Stroud,us USA,MF,NY Red Bulls,23-192,2002,19.1,833,986,84.5,12888,3492,444,489,90.8,325,364,89.3,42,82,51.2,3,2.2,1.9,+0.8,17,112,9,2,100,Matches
763,Brad Stuver,us USA,GK,Austin,34-199,1991,34.0,918,1305,70.3,24918,19241,207,207,100.0,421,433,97.2,289,658,43.9,0,0.1,0.1,-0.1,2,15,1,0,1,Matches
764,Luis Suárez,uy URU,FW,Inter Miami,38-281,1987,25.4,677,881,76.8,10412,2262,372,460,80.9,209,262,79.8,56,74,75.7,10,8.5,5.9,+1.5,48,42,41,6,99,Matches
765,Magomed-Shapi Suleymanov,ru RUS,"FW,MF",Sporting KC,25-320,1999,22.4,705,882,79.9,10959,1912,388,436,89.0,247,303,81.5,48,86,55.8,3,1.3,2.7,+1.7,19,26,23,4,66,Matches
766,Cavan Sullivan,us USA,MF,Philadelphia Union,16-034,2009,2.5,61,89,68.5,875,208,33,46,71.7,23,29,79.3,1,7,14.3,0,0.3,0.3,-0.3,3,6,5,0,15,Matches
767,Michael Sullivan,us USA,MF,Toronto FC,22-243,2003,0.1,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
768,Nicklaus Sullivan,us USA,"MF,DF",LA Galaxy,23-103,2002,0.1,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
769,Quinn Sullivan,us USA,"MF,FW",Philadelphia Union,21-219,2004,21.7,579,866,66.9,8671,2732,326,393,83.0,183,269,68.0,36,112,32.1,7,6.0,5.3,+1.0,44,56,35,10,94,Matches
770,Finn Surman,nz NZL,DF,Portland Timbers,22-039,2003,30.2,1446,1585,91.2,27279,9451,472,499,94.6,851,895,95.1,110,157,70.1,0,0.2,0.3,-0.2,5,74,3,1,61,Matches
771,Sam Surridge,eng ENG,FW,Nashville SC,27-096,1998,32.6,393,580,67.8,5878,1200,224,307,73.0,127,171,74.3,24,40,60.0,3,4.9,3.1,-1.9,28,22,22,3,57,Matches
772,Oleksandr Svatok,ua UKR,DF,Austin,31-035,1994,26.3,1126,1256,89.6,21598,7104,345,369,93.5,691,724,95.4,83,147,56.5,0,0.7,0.6,-0.7,5,64,2,0,54,Matches
773,Erik Sviatchenko,dk DEN,DF,Houston Dynamo,34-028,1991,10.7,424,511,83.0,7715,3210,186,198,93.9,203,223,91.0,31,77,40.3,0,0.0,0.3,0.0,0,53,4,0,37,Matches
774,Hennadii Synchuk,ua UKR,"MF,FW",CF Montréal,19-114,2006,8.8,246,346,71.1,3996,1225,133,154,86.4,95,129,73.6,16,43,37.2,0,1.3,1.6,-1.3,10,26,16,4,37,Matches
775,Nkosi Tafari,us USA,DF,LAFC,28-223,1997,20.4,1089,1190,91.5,19891,6490,394,412,95.6,618,637,97.0,71,122,58.2,0,0.6,0.7,-0.6,2,50,1,0,42,Matches
