Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 24_level_0_Matches
36,Brian Anunga,cm CMR,MF,FC Cincinnati,29-083,1996,18.9,19,1.01,16,1,1,0,1,0,4,0.21,3,0,1,0,0,0,Matches
37,Chris Applewhite,us USA,DF,Nashville SC,18-070,2007,2.1,2,0.95,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
38,Cristian Arango,co COL,"FW,MF",SJ Earthquakes,30-237,1995,28.3,97,3.42,60,3,7,17,8,2,15,0.53,11,0,1,1,2,0,Matches
39,César Araujo,uy URU,MF,Orlando City,24-213,2001,20.0,53,2.65,39,2,0,5,4,3,7,0.35,5,0,0,1,1,0,Matches
40,Max Arfsten,us USA,"DF,MF",Columbus Crew,24-196,2001,28.5,88,3.09,71,3,8,3,2,1,12,0.42,12,0,0,0,0,0,Matches
41,Daniel Armando Ríos,mx MEX,FW,Vancouver W'caps,30-252,1995,15.7,30,1.90,16,0,2,10,2,0,4,0.25,2,0,0,2,0,0,Matches
42,Paul Arriola,us USA,"FW,DF",Seattle Sounders,30-269,1995,0.8,1,1.20,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
43,Artur,br BRA,MF,Houston Dynamo,29-235,1996,31.7,50,1.58,48,0,0,0,2,0,2,0.06,2,0,0,0,0,0,Matches
44,Joshua Atencio,us USA,MF,Colorado Rapids,23-274,2002,19.7,37,1.88,36,0,0,1,0,0,1,0.05,1,0,0,0,0,0,Matches
45,Eduard Atuesta,co COL,MF,Orlando City,28-136,1997,25.2,103,4.09,82,11,2,4,3,1,15,0.60,13,0,0,0,1,1,Matches
46,Julián Aude,ar ARG,DF,LA Galaxy,22-222,2003,13.6,29,2.14,24,1,0,1,1,2,1,0.07,0,0,0,1,0,0,Matches
47,Tomás Avilés,ar ARG,"DF,MF",Inter Miami,21-271,2004,13.3,7,0.53,6,1,0,0,0,0,2,0.15,2,0,0,0,0,0,Matches
48,Chidozie Awaziem,ng NGA,DF,Colorado Rapids,28-304,1997,19.7,13,0.66,11,0,0,2,0,0,1,0.05,0,0,0,1,0,0,Matches
49,Obafemi Awodesu,us USA,DF,Houston Dynamo,24-210,2001,17.2,6,0.35,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
50,David Ayala,ar ARG,MF,Portland Timbers,23-098,2002,29.2,49,1.68,36,0,2,5,2,4,2,0.07,0,0,0,2,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
51,Dominique Badji,sn SEN,"FW,MF",D.C. United,33-016,1992,8.3,10,1.20,8,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
52,Jeevan Badwal,ca CAN,"MF,FW",Vancouver W'caps,19-235,2006,10.0,21,2.10,14,0,0,2,3,2,5,0.50,5,0,0,0,0,0,Matches
