Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 20_level_0_Int,Unnamed: 21_level_0_Tkl+Int,Unnamed: 22_level_0_Clr,Unnamed: 23_level_0_Err,Unnamed: 24_level_0_Matches
36,Brian Anunga,cm CMR,MF,FC Cincinnati,29-083,1996,18.9,41,26,15,25,1,16,26,61.5,10,37,13,24,20,61,19,2,Matches
37,Chris Applewhite,us USA,DF,Nashville SC,18-070,2007,2.1,1,1,1,0,0,1,1,100.0,0,1,0,1,1,2,9,0,Matches
38,Cristian Arango,co COL,"FW,MF",SJ Earthquakes,30-237,1995,28.3,41,23,10,16,15,18,35,51.4,17,21,1,20,7,48,19,0,Matches
39,César Araujo,uy URU,MF,Orlando City,24-213,2001,20.0,38,26,16,13,9,21,47,44.7,26,31,6,25,9,47,21,1,Matches
40,Max Arfsten,us USA,"DF,MF",Columbus Crew,24-196,2001,28.5,62,35,20,27,15,33,65,50.8,32,27,2,25,21,83,36,0,Matches
41,Daniel Armando Ríos,mx MEX,FW,Vancouver W'caps,30-252,1995,15.7,3,2,0,1,2,2,6,33.3,4,5,2,3,7,10,18,0,Matches
42,Paul Arriola,us USA,"FW,DF",Seattle Sounders,30-269,1995,0.8,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Matches
43,Artur,br BRA,MF,Houston Dynamo,29-235,1996,31.7,57,31,28,22,7,22,45,48.9,23,35,10,25,43,100,38,3,Matches
44,Joshua Atencio,us USA,MF,Colorado Rapids,23-274,2002,19.7,52,28,18,26,8,31,57,54.4,26,32,2,30,29,81,27,0,Matches
45,Eduard Atuesta,co COL,MF,Orlando City,28-136,1997,25.2,39,21,20,13,6,18,46,39.1,28,26,6,20,22,61,31,2,Matches
46,Julián Aude,ar ARG,DF,LA Galaxy,22-222,2003,13.6,36,22,21,10,5,23,45,51.1,22,15,3,12,13,49,38,1,Matches
47,Tomás Avilés,ar ARG,"DF,MF",Inter Miami,21-271,2004,13.3,30,12,15,12,3,15,24,62.5,9,16,7,9,17,47,32,1,Matches
48,Chidozie Awaziem,ng NGA,DF,Colorado Rapids,28-304,1997,19.7,25,13,18,6,1,14,22,63.6,8,13,5,8,22,47,103,2,Matches
49,Obafemi Awodesu,us USA,DF,Houston Dynamo,24-210,2001,17.2,17,8,15,2,0,9,11,81.8,2,20,8,12,16,33,140,0,Matches
50,David Ayala,ar ARG,MF,Portland Timbers,23-098,2002,29.2,88,56,48,29,11,43,61,70.5,18,35,7,28,48,136,54,0,Matches
