Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 20_level_0_Int,Unnamed: 21_level_0_Tkl+Int,Unnamed: 22_level_0_Clr,Unnamed: 23_level_0_Err,Unnamed: 24_level_0_Matches
153,Tomás Chancalay,ar ARG,"FW,MF",NE Revolution,26-304,1999,13.1,19,10,7,8,4,7,18,38.9,11,17,1,16,1,20,11,1,Matches
154,Kieran Chandler,us USA,DF,Minnesota Utd,20-145,2005,0.7,2,0,2,0,0,2,2,100.0,0,1,0,1,1,3,6,0,Matches
155,Maxime Chanot,lu LUX,DF,LAFC,35-345,1989,0.7,2,2,1,1,0,1,1,100.0,0,2,2,0,3,5,7,0,Matches
156,Diego Chará,co COL,MF,Portland Timbers,39-210,1986,13.3,43,32,19,18,6,18,29,62.1,11,13,6,7,20,63,27,1,Matches
157,Gabriel Chaves,br BRA,FW,LA Galaxy,24-263,2001,27.5,30,16,18,8,4,10,35,28.6,25,14,0,14,18,48,7,0,Matches
158,Yevhen Cheberko,ua UKR,DF,Columbus Crew,27-282,1998,25.7,47,33,23,21,3,27,37,73.0,10,24,16,8,31,78,88,1,Matches
159,Ștefan Chirilă,ro ROU,MF,FC Cincinnati,18-290,2007,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
160,Mathieu Choiniere,ca CAN,MF,LAFC,26-267,1999,7.1,25,13,14,10,1,12,20,60.0,8,10,0,10,8,33,8,0,Matches
161,Dominik Chong Qui,us USA,DF,Atlanta Utd,17-307,2007,1.7,4,2,3,1,0,2,3,66.7,1,0,0,0,0,4,0,1,Matches
162,Léo Chú,br BRA,"FW,MF",FC Dallas,25-209,2000,2.3,0,0,0,0,0,0,3,0.0,3,1,0,1,2,2,1,0,Matches
163,José Cifuentes,ec ECU,MF,Toronto FC,26-234,1999,5.4,9,6,4,4,1,3,8,37.5,5,10,1,9,1,10,15,2,Matches
164,Markus Cimermancic,ca CAN,"DF,MF",Toronto FC,21-031,2004,2.9,11,10,5,5,1,5,6,83.3,1,5,1,4,1,12,7,0,Matches
165,Caden Clark,us USA,"FW,MF",D.C. United,22-158,2003,1.6,3,3,1,1,1,2,3,66.7,1,3,0,3,1,4,3,0,Matches
166,Caden Clark,us USA,"FW,MF",CF Montréal,22-158,2003,17.4,37,20,17,16,4,12,22,54.5,10,16,0,16,10,47,15,2,Matches
167,Noah Cobb,us USA,"DF,FW",Atlanta Utd,20-104,2005,4.8,8,4,6,2,0,6,10,60.0,4,2,2,0,5,13,32,2,Matches
168,Noah Cobb,us USA,DF,Colorado Rapids,20-104,2005,4.0,8,4,4,4,0,5,6,83.3,1,7,6,1,5,13,20,0,Matches
169,Alonso Coello,es ESP,MF,Toronto FC,26-020,1999,24.1,76,40,37,34,5,38,61,62.3,23,26,4,22,35,111,52,1,Matches
170,Michael Collodi,us USA,GK,FC Dallas,24-160,2001,8.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,Matches
171,Theo Corbeanu,ca CAN,"FW,MF",Toronto FC,23-168,2002,25.6,16,6,2,11,3,10,30,33.3,20,21,1,20,10,26,12,0,Matches
172,Matthew Corcoran,us USA,MF,Nashville SC,19-257,2006,2.9,9,5,6,3,0,3,5,60.0,2,2,0,2,2,11,3,0,Matches
173,Carlos Coronel,py PAR,GK,NY Red Bulls,28-307,1996,31.0,1,1,1,0,0,1,3,33.3,2,0,0,0,1,2,31,1,Matches
174,David Costa,pt POR,"MF,FW",Portland Timbers,24-300,2001,27.9,11,4,3,6,2,4,13,30.8,9,13,0,13,7,18,9,2,Matches
175,Vitor Costa,br BRA,"DF,MF",SJ Earthquakes,31-123,1994,17.9,34,23,11,17,6,11,28,39.3,17,25,5,20,19,53,64,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
176,Baye Coulibaly,ml MLI,MF,Charlotte,19-297,2006,0.1,1,0,1,0,0,0,0,,0,0,0,0,1,2,0,0,Matches
177,Antoine Coupland,ca CAN,FW,Vancouver W'caps,21-324,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
178,Brandan Craig,us USA,"DF,MF",CF Montréal,21-208,2004,16.0,22,15,14,8,0,8,14,57.1,6,16,10,6,15,37,73,0,Matches
179,Ben Cremaschi,us USA,"MF,FW",Inter Miami,20-244,2005,15.4,37,21,10,20,7,17,33,51.5,16,14,1,13,11,48,5,0,Matches
180,Maxime Crépeau,ca CAN,GK,Portland Timbers,31-174,1994,15.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,3,Matches
181,Andrés Cubas,py PAR,MF,Vancouver W'caps,29-163,1996,22.0,66,45,17,33,16,21,49,42.9,28,35,8,27,34,100,31,0,Matches
182,Mauricio Cuevas,us USA,"DF,FW",LA Galaxy,22-264,2003,8.8,21,16,11,8,2,14,23,60.9,9,10,2,8,3,24,19,1,Matches
183,Christopher Cupps,us USA,DF,Chicago Fire,17-159,2008,3.2,5,2,4,1,0,1,1,100.0,0,6,5,1,1,6,29,0,Matches
184,Hugo Cuypers,be BEL,FW,Chicago Fire,28-267,1997,31.1,46,32,11,25,10,17,46,37.0,29,36,3,33,21,67,35,0,Matches
185,Bruno Damiani,uy URU,"FW,MF",Philadelphia Union,23-197,2002,22.6,27,19,3,19,5,8,19,42.1,11,31,2,29,16,43,30,0,Matches
186,Dagur Dan Þórhallsson,is ISL,"MF,DF",Orlando City,25-183,2000,12.4,20,13,14,4,2,8,21,38.1,13,13,7,6,7,27,37,1,Matches
187,Daniel,br BRA,GK,SJ Earthquakes,31-179,1994,27.7,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,14,6,Matches
188,Jesús Daniel Bueno,ve VEN,MF,Philadelphia Union,26-200,1999,10.1,28,16,11,16,1,11,21,52.4,10,16,1,15,11,39,7,0,Matches
189,Héctor David Martínez,py PAR,DF,Inter Miami,27-284,1998,4.2,15,6,10,3,2,8,12,66.7,4,4,2,2,2,17,28,0,Matches
190,Juan David Mosquera,co COL,DF,Portland Timbers,23-057,2002,25.2,35,23,23,8,4,20,40,50.0,20,20,1,19,10,45,52,1,Matches
191,Edward Davis,us USA,FW,Philadelphia Union,19-137,2006,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
192,Jake Davis,us USA,"MF,DF",Sporting KC,23-302,2002,20.7,42,24,17,18,7,15,48,31.3,33,20,3,17,22,64,26,1,Matches
193,Pedro De la Vega,ar ARG,"FW,MF",Seattle Sounders,24-267,2001,13.0,19,11,8,9,2,9,20,45.0,11,17,1,16,8,27,4,1,Matches
194,Rodrigo De Paul,ar ARG,MF,Inter Miami,31-161,1994,9.9,11,6,2,6,3,7,13,53.8,6,3,1,2,3,14,6,1,Matches
195,Osaze De Rosario,gy GUY,FW,Seattle Sounders,24-105,2001,2.9,3,1,1,0,2,2,2,100.0,0,1,0,1,1,4,2,0,Matches
196,Jonathan Dean,us USA,"DF,MF",Chicago Fire,28-170,1997,18.6,38,18,20,10,8,16,20,80.0,4,27,9,18,34,72,71,0,Matches
197,Louicius Deedson,ht HAI,FW,FC Dallas,24-263,2001,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
198,Marky Delgado,us USA,MF,LAFC,30-169,1995,28.6,57,39,16,32,9,27,56,48.2,29,41,6,35,37,94,28,0,Matches
199,Patrickson Delgado,ec ECU,"MF,FW",FC Dallas,22-015,2003,19.0,38,28,11,22,5,20,33,60.6,13,34,5,29,16,54,27,2,Matches
200,Kévin Denkey,tg TOG,FW,FC Cincinnati,24-336,2000,25.3,11,7,2,4,5,4,13,30.8,9,5,2,3,8,19,12,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
201,Mikkel Desler,dk DEN,"DF,MF",Austin,30-255,1995,14.9,41,22,26,12,3,26,40,65.0,14,24,8,16,14,55,63,1,Matches
202,Djibril Diani,fr FRA,MF,Charlotte,27-263,1998,12.8,43,27,20,20,3,17,28,60.7,11,22,6,16,25,68,23,0,Matches
203,Jefferson Díaz,co COL,DF,Minnesota Utd,24-331,2000,21.1,26,17,15,7,4,15,32,46.9,17,28,12,16,24,50,97,3,Matches
204,Luis Díaz,cr CRC,"FW,DF",NE Revolution,26-330,1998,4.4,13,6,3,8,2,6,9,66.7,3,1,0,1,2,15,2,0,Matches
205,Mamadou Dieng,sn SEN,FW,Minnesota Utd,21-270,2004,1.3,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
206,Javairô Dilrosun,nl NED,FW,LAFC,27-132,1998,4.8,2,1,2,0,0,1,3,33.3,2,4,0,4,1,3,3,0,Matches
207,Hamady Diop,sn SEN,DF,San Diego FC,23-148,2002,2.2,2,2,0,1,1,1,4,25.0,3,3,1,2,1,3,8,0,Matches
208,Innocent Dje,ci CIV,MF,Chicago Fire,22-180,2003,13.0,28,17,13,12,3,9,23,39.1,14,13,4,9,28,56,20,3,Matches
209,Derek Dodson,us USA,"DF,MF",D.C. United,26-363,1998,6.4,20,12,10,8,2,9,18,50.0,9,10,5,5,6,26,18,0,Matches
210,Maxime Dominguez,ch SUI,MF,Toronto FC,29-273,1996,15.7,45,36,21,19,5,21,49,42.9,28,25,1,24,19,64,12,0,Matches
211,Ronald Donkor,ml MLI,MF,NY Red Bulls,20-346,2004,9.6,32,24,10,18,4,9,23,39.1,14,5,1,4,20,52,11,1,Matches
212,Christopher Donovan,us USA,"FW,MF",Philadelphia Union,25-085,2000,6.1,10,5,3,4,3,5,13,38.5,8,18,1,17,2,12,6,0,Matches
213,Griffin Dorsey,us USA,DF,Houston Dynamo,26-241,1999,29.6,39,22,21,16,2,25,38,65.8,13,27,5,22,28,67,75,1,Matches
214,C.J. dos Santos,us USA,GK,San Diego FC,25-069,2000,30.0,2,2,2,0,0,2,5,40.0,3,1,0,1,0,2,18,5,Matches
215,Hassani Dotson,us USA,MF,Minnesota Utd,28-087,1997,4.6,6,5,3,2,1,1,3,33.3,2,6,3,3,5,11,9,0,Matches
216,Souleyman Doumbia,ci CIV,DF,Charlotte,29-038,1996,6.7,11,9,6,5,0,3,4,75.0,1,10,5,5,10,21,19,0,Matches
217,Anders Dreyer,dk DEN,FW,San Diego FC,27-183,1998,33.5,15,10,4,8,3,10,18,55.6,8,16,0,16,8,23,5,2,Matches
218,Manu Duah,gh GHA,DF,San Diego FC,20-149,2005,11.5,20,15,11,7,2,8,11,72.7,3,15,12,3,9,29,42,3,Matches
219,Nicolás Dubersarsky,ar ARG,MF,Austin,20-315,2004,7.7,20,9,12,8,0,9,12,75.0,3,13,3,10,5,25,15,1,Matches
220,Erik Duenas,us USA,"MF,FW",Houston Dynamo,21-014,2004,1.8,5,3,4,1,0,1,1,100.0,0,1,0,1,7,12,7,0,Matches
221,Morris Duggan,de GER,DF,Minnesota Utd,25-008,2000,14.6,17,9,12,5,0,7,11,63.6,4,14,11,3,8,25,114,1,Matches
222,Bryce Duke,us USA,"MF,FW",CF Montréal,24-246,2001,7.5,10,5,4,5,1,5,11,45.5,6,9,0,9,4,14,6,0,Matches
223,Kyle Duncan,us USA,DF,NY Red Bulls,28-085,1997,17.0,41,24,22,11,8,28,41,68.3,13,19,9,10,18,59,50,2,Matches
224,Chris Durkin,us USA,MF,St. Louis,25-266,2000,12.3,23,15,10,11,2,10,22,45.5,12,19,5,14,18,41,45,1,Matches
225,Leonard Duru,eng ENG,DF,San Diego FC,20-293,2005,0.4,1,0,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
226,Jeremy Ebobisse,us USA,FW,LAFC,28-260,1997,9.7,3,1,0,1,2,2,6,33.3,4,4,0,4,2,5,7,0,Matches
227,Ender Echenique,ve VEN,"DF,FW",FC Cincinnati,21-213,2004,5.6,7,4,2,4,1,5,9,55.6,4,1,1,0,5,12,14,0,Matches
228,Daniel Edelman,us USA,MF,NY Red Bulls,22-187,2003,22.4,32,20,7,19,6,18,46,39.1,28,26,8,18,34,66,42,0,Matches
229,Earl Edwards Jr.,us USA,GK,SJ Earthquakes,33-281,1992,6.3,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,4,2,Matches
230,Matthew Edwards,us USA,DF,Atlanta Utd,22-257,2003,13.4,18,11,9,8,1,10,16,62.5,6,13,7,6,10,28,42,0,Matches
231,Michael Edwards,us USA,DF,Colorado Rapids,24-339,2000,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,Matches
232,Raheem Edwards,ca CAN,DF,NY Red Bulls,30-109,1995,15.9,50,37,25,19,6,22,53,41.5,31,32,3,29,24,74,35,2,Matches
233,Noah Eile,se SWE,DF,NY Red Bulls,23-105,2002,29.0,43,23,19,24,0,24,28,85.7,4,35,18,17,35,78,169,0,Matches
234,Jack Elliott,eng ENG,DF,Chicago Fire,30-068,1995,32.6,42,28,29,12,1,24,39,61.5,15,47,32,15,33,75,216,6,Matches
235,Justin Ellis,us USA,FW,Orlando City,18-171,2007,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
236,Rayan Elloumi,ca CAN,FW,Vancouver W'caps,18-045,2007,2.3,4,3,1,2,1,0,2,0.0,2,2,0,2,0,4,2,0,Matches
237,Emeka Eneli,us USA,MF,Real Salt Lake,26-014,1999,20.1,40,23,22,14,4,19,40,47.5,21,31,8,23,19,59,26,0,Matches
238,Lukas Engel,dk DEN,DF,FC Cincinnati,26-322,1998,30.2,54,34,30,15,9,34,52,65.4,18,43,11,32,42,96,120,3,Matches
239,Lawrence Ennali,de GER,"MF,FW",Houston Dynamo,23-239,2002,11.0,11,6,4,5,2,4,4,100.0,0,9,2,7,2,13,11,0,Matches
240,Boris Enow,cm CMR,MF,D.C. United,25-216,2000,18.2,36,20,17,17,2,14,36,38.9,22,24,3,21,28,64,21,4,Matches
241,Ramiro Enrique,ar ARG,FW,Orlando City,24-181,2001,10.5,8,6,1,6,1,3,7,42.9,4,6,1,5,3,11,15,0,Matches
242,Franco Escobar,ar ARG,DF,Houston Dynamo,30-253,1995,17.4,49,34,37,10,2,32,48,66.7,16,27,11,16,32,81,56,0,Matches
243,Olger Escobar,gt GUA,MF,CF Montréal,19-051,2006,5.0,8,3,2,5,1,2,2,100.0,0,3,0,3,2,10,3,0,Matches
244,Cristian Espinoza,ar ARG,"MF,FW",SJ Earthquakes,30-212,1995,29.9,43,25,14,17,12,25,52,48.1,27,27,0,27,20,63,25,2,Matches
245,Derrick Etienne,ht HAI,"FW,DF",Toronto FC,28-341,1996,11.0,9,5,5,4,0,6,10,60.0,4,9,1,8,4,13,12,0,Matches
246,Evander,br BRA,MF,FC Cincinnati,27-145,1998,30.4,38,20,13,20,5,19,42,45.2,23,30,2,28,9,47,14,0,Matches
247,Nicolás Ezequiel Fernández,ar ARG,FW,NYCFC,25-294,2000,9.8,18,13,6,9,3,5,13,38.5,8,17,0,17,5,23,4,0,Matches
248,Diego Fagúndez,uy URU,"MF,FW",LA Galaxy,30-260,1995,27.4,29,18,11,12,6,9,24,37.5,15,19,1,18,6,35,18,1,Matches
249,Maximiliano Falcón,uy URU,DF,Inter Miami,28-184,1997,20.8,25,16,16,9,0,15,30,50.0,15,29,18,11,25,50,79,1,Matches
250,Fallou Fall,sn SEN,DF,St. Louis,21-200,2004,6.5,8,6,3,5,0,3,7,42.9,4,9,9,0,9,17,39,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
251,Marco Farfan,us USA,DF,FC Dallas,26-354,1998,14.3,28,16,15,7,6,16,28,57.1,12,10,5,5,10,38,55,3,Matches
252,Jordan Farr,us USA,GK,D.C. United,31-027,1994,2.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,Matches
253,Andrew Farrell,us USA,"MF,DF",NE Revolution,33-213,1992,0.3,1,0,0,1,0,0,0,,0,1,0,1,0,1,2,0,Matches
254,Logan Farrington,us USA,"FW,MF",FC Dallas,23-322,2001,17.4,22,15,6,11,5,11,19,57.9,8,11,5,6,5,27,34,0,Matches
255,Mohamed Farsi,dz ALG,"DF,MF",Columbus Crew,25-320,1999,16.5,19,7,6,11,2,10,16,62.5,6,13,2,11,7,26,19,0,Matches
256,Ilay Feingold,il ISR,DF,NE Revolution,21-070,2004,24.9,32,23,17,11,4,22,37,59.5,15,28,12,16,20,52,58,1,Matches
257,Joaquín Fernández,es ESP,DF,Sporting KC,29-154,1996,14.4,19,13,13,4,2,9,13,69.2,4,17,9,8,13,32,84,0,Matches
258,Julián Fernández,ar ARG,"FW,MF",NYCFC,21-302,2004,15.7,25,12,7,14,4,12,33,36.4,21,25,2,23,7,32,10,1,Matches
259,Nick Fernandez,us USA,MF,SJ Earthquakes,23-314,2001,1.3,6,6,2,4,0,2,5,40.0,3,0,0,0,2,8,1,0,Matches
260,Omir Fernandez,us USA,"MF,FW",Colorado Rapids,26-266,1999,2.0,1,1,1,0,0,0,3,0.0,3,3,0,3,2,3,3,0,Matches
261,Omir Fernandez,us USA,"MF,FW",Portland Timbers,26-266,1999,4.7,9,5,4,3,2,3,11,27.3,8,3,0,3,3,12,3,0,Matches
262,Jesús Ferreira,us USA,"FW,MF",Seattle Sounders,24-312,2000,24.2,30,17,11,11,8,9,26,34.6,17,13,1,12,17,47,6,0,Matches
263,Dominik Fitz,at AUT,"FW,MF",Minnesota Utd,26-138,1999,1.7,0,0,0,0,0,0,0,,0,3,1,2,1,1,2,0,Matches
264,Kristian Fletcher,us USA,FW,D.C. United,20-087,2005,0.9,2,1,2,0,0,2,3,66.7,1,0,0,0,0,2,1,0,Matches
265,Nicolas Fleuriau,ca CAN,"DF,FW",Vancouver W'caps,23-164,2002,0.1,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,Matches
266,Deybi Flores,hn HON,MF,Toronto FC,29-138,1996,15.1,50,28,23,24,3,18,43,41.9,25,20,5,15,29,79,61,0,Matches
267,Gilberto Flores,py PAR,DF,FC Cincinnati,22-214,2003,13.1,37,29,17,19,1,25,48,52.1,23,20,13,7,17,54,86,1,Matches
268,Max Floriani,us USA,DF,SJ Earthquakes,22-268,2003,9.1,17,9,12,1,4,9,15,60.0,6,13,9,4,16,33,31,2,Matches
269,CJ Fodrey,us USA,"FW,MF",Austin,21-264,2004,3.7,6,3,4,1,1,0,4,0.0,4,3,0,3,3,9,5,0,Matches
270,Mamadou Fofana,ml MLI,DF,NE Revolution,27-284,1998,28.6,62,35,48,13,1,27,51,52.9,24,51,29,22,49,111,157,3,Matches
271,Emil Forsberg,se SWE,"MF,FW",NY Red Bulls,34-009,1991,31.8,21,16,2,14,5,9,19,47.4,10,13,1,12,7,28,10,1,Matches
272,Ajani Fortune,tt TRI,"MF,DF",Atlanta Utd,22-306,2002,8.7,21,16,10,10,1,8,12,66.7,4,10,2,8,14,35,14,0,Matches
273,Jimer Fory,co COL,DF,Portland Timbers,23-161,2002,22.9,39,24,23,14,2,18,30,60.0,12,39,9,30,32,71,111,1,Matches
274,André Franco,pt POR,MF,Chicago Fire,27-203,1998,4.4,6,3,3,2,1,2,8,25.0,6,4,0,4,2,8,1,1,Matches
275,Kobe Franklin,ca CAN,DF,Toronto FC,22-175,2003,8.7,19,15,16,2,1,9,9,100.0,0,5,1,4,9,28,23,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
276,Ian Fray,jm JAM,DF,Inter Miami,23-062,2002,13.7,37,24,28,9,0,27,37,73.0,10,22,4,18,14,51,22,2,Matches
277,Wayne Frederick,tt TRI,MF,Colorado Rapids,21-141,2004,2.5,4,0,2,2,0,0,4,0.0,4,7,3,4,7,11,13,0,Matches
278,Alex Freeman,us USA,DF,Orlando City,21-084,2004,27.3,42,27,31,10,1,22,36,61.1,14,28,9,19,26,68,94,0,Matches
279,Matt Freese,us USA,GK,NYCFC,27-060,1998,30.7,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,17,1,Matches
280,Stefan Frei,ch SUI,GK,Seattle Sounders,39-195,1986,26.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,6,1,Matches
281,Julian Gaines,us USA,"FW,DF",Nashville SC,22-361,2002,0.3,3,0,2,0,1,0,0,,0,0,0,0,1,4,0,0,Matches
282,Jeffrey Gal,us USA,GK,Chicago Fire,32-209,1993,6.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
283,Jon Gallagher,ie IRL,"DF,MF",Austin,29-251,1996,26.2,26,18,15,9,2,15,26,57.7,11,24,8,16,11,37,86,1,Matches
284,Pedro Gallese,pe PER,GK,Orlando City,35-251,1990,32.0,2,1,2,0,0,2,3,66.7,1,0,0,0,0,2,19,2,Matches
285,Ignatius Ganago,cm CMR,"FW,MF",NE Revolution,26-258,1999,17.5,17,15,5,9,3,7,19,36.8,12,10,2,8,4,21,20,0,Matches
286,Carlos Garcés,co COL,DF,LA Galaxy,24-021,2001,19.1,60,40,45,14,1,30,38,78.9,8,24,8,16,27,87,50,5,Matches
287,Diego García,us USA,MF,FC Dallas,19-015,2006,0.1,0,0,0,0,0,0,0,,0,2,0,2,0,0,3,0,Matches
288,Manu García,es ESP,MF,Sporting KC,27-303,1998,23.3,30,23,3,14,13,14,33,42.4,19,17,2,15,11,41,14,3,Matches
289,Ryan Gauld,sct SCO,FW,Vancouver W'caps,29-320,1995,2.7,9,4,1,6,2,7,11,63.6,4,4,0,4,4,13,0,0,Matches
290,Luka Gavran,ca CAN,GK,Toronto FC,25-176,2000,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches
291,Dániel Gazdag,hu HUN,"MF,FW",Philadelphia Union,29-244,1996,5.5,13,9,3,6,4,7,12,58.3,5,4,0,4,1,14,1,1,Matches
292,Dániel Gazdag,hu HUN,"MF,FW",Columbus Crew,29-244,1996,22.9,20,11,4,10,6,8,27,29.6,19,18,3,15,7,27,4,0,Matches
293,Owen Géne,fr FRA,MF,Minnesota Utd,22-227,2003,7.3,10,7,4,6,0,6,12,50.0,6,15,6,9,11,21,10,0,Matches
294,Sharod George,us USA,MF,NE Revolution,21-175,2004,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
295,Joran Gerbet,fr FRA,MF,Orlando City,24-124,2001,12.4,23,17,7,14,2,8,13,61.5,5,16,6,10,14,37,22,0,Matches
296,Samuel Gidi,sk SVK,MF,FC Cincinnati,21-200,2004,3.3,12,4,6,3,3,5,9,55.6,4,6,3,3,2,14,14,0,Matches
297,Carles Gil,es ESP,"MF,FW",NE Revolution,32-344,1992,33.9,32,23,11,13,8,19,46,41.3,27,13,1,12,13,45,8,0,Matches
298,Thomas Gillier,cl CHI,GK,CF Montréal,21-157,2004,8.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0,Matches
299,Blake Gillingham,us USA,GK,Houston Dynamo,23-021,2002,3.3,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
300,Jake Girdwood-Reich,au AUS,"DF,MF",St. Louis,21-159,2004,5.5,14,7,7,5,2,5,9,55.6,4,7,2,5,7,21,28,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
301,Olivier Giroud,fr FRA,FW,LAFC,39-032,1986,5.9,4,2,1,3,0,1,2,50.0,1,4,1,3,1,5,6,0,Matches
302,Dennis Gjengaar,no NOR,"FW,MF",NY Red Bulls,21-250,2004,8.5,7,5,3,2,2,6,16,37.5,10,5,0,5,7,14,5,0,Matches
303,Justen Glad,us USA,DF,Real Salt Lake,28-246,1997,30.9,35,15,19,14,2,13,22,59.1,9,46,32,14,41,76,179,1,Matches
304,Omari Glasgow,gy GUY,"DF,FW",Chicago Fire,21-344,2003,5.9,12,6,5,2,5,6,12,50.0,6,12,2,10,2,14,14,0,Matches
305,Ian Glavinovich,ar ARG,DF,Philadelphia Union,24-005,2001,2.9,3,2,2,1,0,0,1,0.0,1,4,1,3,5,8,18,0,Matches
306,Jakob Glesnes,no NOR,DF,Philadelphia Union,31-221,1994,29.2,50,30,38,12,0,26,46,56.5,20,41,24,17,55,105,163,0,Matches
307,Aníbal Godoy,pa PAN,MF,San Diego FC,35-264,1990,19.1,28,13,12,12,4,9,20,45.0,11,21,5,16,18,46,17,0,Matches
308,Yeimar Gómez Andrade,co COL,DF,Seattle Sounders,33-124,1992,19.6,48,34,20,26,2,26,38,68.4,12,18,6,12,34,82,116,1,Matches
309,Nicksoen Gomis,fr FRA,DF,Toronto FC,23-231,2002,5.3,10,4,6,2,2,6,8,75.0,2,4,2,2,4,14,11,1,Matches
310,Diogo Gonçalves,pt POR,"FW,MF",Real Salt Lake,28-268,1997,24.2,12,8,4,6,2,2,13,15.4,11,24,0,24,18,30,17,0,Matches
311,Omar Gonzalez,us USA,DF,Chicago Fire,37-021,1988,4.7,4,3,4,0,0,3,7,42.9,4,4,1,3,5,9,47,0,Matches
312,Archie Goodwin,au AUS,"MF,FW",Charlotte,20-359,2004,0.4,2,1,0,0,2,0,0,,0,0,0,0,0,2,1,0,Matches
313,Zavier Gozo,us USA,"MF,FW",Real Salt Lake,18-224,2007,20.1,54,28,20,19,15,25,59,42.4,34,36,1,35,13,67,18,0,Matches
314,Owen Graham Roache,ca CAN,FW,CF Montréal,17-263,2008,1.4,1,1,0,0,1,0,0,,0,1,0,1,1,2,0,0,Matches
315,Tayvon Gray,jm JAM,DF,NYCFC,23-074,2002,19.5,44,29,22,20,2,22,30,73.3,8,31,8,23,16,60,61,2,Matches
316,Julian Gressel,us USA,"DF,MF",Minnesota Utd,31-320,1993,12.1,28,16,19,8,1,16,25,64.0,9,11,6,5,9,37,32,0,Matches
317,Yuri Guboglo,ht HAI,"DF,FW",CF Montréal,18-226,2007,11.2,23,14,15,6,2,9,18,50.0,9,10,3,7,3,26,28,0,Matches
318,Gage Guerra,,"FW,DF",Portland Timbers,22-315,2002,1.5,1,1,0,0,1,0,1,0.0,1,1,0,1,2,3,0,0,Matches
319,Colin Guske,us USA,"MF,FW",Orlando City,18-276,2007,0.2,1,0,0,1,0,0,0,,0,1,0,1,0,1,2,0,Matches
320,Raul Gustavo,br BRA,DF,NYCFC,26-191,1999,4.7,10,8,9,1,0,7,9,77.8,2,5,2,3,4,14,27,0,Matches
321,Brian Gutiérrez,us USA,"MF,FW",Chicago Fire,22-137,2003,22.7,39,22,16,14,9,15,30,50.0,15,25,5,20,21,60,10,0,Matches
